reference_id,customer_id,city,state,service_history,common_problem,historical_solution,vehicle_brand,data_nature
VS-0205,205,Ananthapuram,Andhra Pradesh,Fluid Check; Oil Change,Low oil,Oil replacement,Ford,public-reference
VS-0206,206,Ananthapuram,Andhra Pradesh,Brake Inspection; General Maintenance,Brake noise,Brake pad replacement,Mahindra,public-reference
VS-0207,207,Ananthapuram,Andhra Pradesh,Engine Diagnostics; Tune-Up,Engine roughness,Spark plug replacement,Toyota,public-reference
VS-0208,208,Ananthapuram,Andhra Pradesh,Transmission Fluid Change; Brake Service,Slipping transmission,Transmission fluid change,Volkswagen,public-reference
VS-0209,209,Ananthapuram,Andhra Pradesh,General Maintenance; Tire Inspection,Tire wear,Tire rotation,Audi,public-reference
VS-0210,210,Ananthapuram,Andhra Pradesh,Oil Change; Brake Fluid Change,Brake fluid leak,Brake fluid replacement,Tata Motors,public-reference
VS-0211,211,Ananthapuram,Andhra Pradesh,Exhaust Repair; Engine Check,Exhaust noise,Exhaust system repair,Bajaj Auto,public-reference
VS-0212,212,Ananthapuram,Andhra Pradesh,Battery Inspection; General Maintenance,Dead battery,Battery replacement,Hero MotoCorp,public-reference
VS-0213,213,Ananthapuram,Andhra Pradesh,Fluid Leak; Tire Rotation,Fluid leak,Fluid replacement,TVS Motor Company,public-reference
VS-0214,214,Ananthapuram,Andhra Pradesh,Engine Repair; Brake Service,Engine overheating,Cooling system flush,Hyundai,public-reference
VS-0215,215,Ananthapuram,Andhra Pradesh,Brake Inspection; Oil Change,Brake noise,Brake pad replacement,Ford,public-reference
VS-0216,216,Ananthapuram,Andhra Pradesh,Tire Replacement; Diagnostics,Tire damage,Tire replacement,Tata Motors,public-reference
VS-0217,217,Ananthapuram,Andhra Pradesh,General Maintenance; Engine Repair,Engine misfiring,Spark plug replacement,Nissan,public-reference
VS-0218,218,Ananthapuram,Andhra Pradesh,Suspension Repair; Oil Change,Steering issues,Suspension adjustment,Kia,public-reference
VS-0219,219,Ananthapuram,Andhra Pradesh,Brake Service; Tire Inspection,Brake wear,Brake pad replacement,Hero MotoCorp,public-reference
VS-0220,220,Ananthapuram,Andhra Pradesh,Fluid Check; Engine Diagnostics,Fluid leak,Fluid replacement,Volkswagen,public-reference
VS-0221,221,Ananthapuram,Andhra Pradesh,Tire Alignment; Brake Inspection,Misaligned tires,Tire alignment,Mahindra,public-reference
VS-0222,222,Ananthapuram,Andhra Pradesh,Exhaust Leak; General Maintenance,Exhaust noise,Exhaust system repair,Toyota,public-reference
VS-0223,223,Ananthapuram,Andhra Pradesh,Brake Repair; Oil Change,Brake noise,Brake pad replacement,Audi,public-reference
VS-0224,224,Ananthapuram,Andhra Pradesh,Oil Change; Brake Repair,Brake noise,Brake pad replacement,Honda,public-reference
VS-0225,225,Ananthapuram,Andhra Pradesh,Transmission Service; Diagnostics,Transmission slipping,Transmission fluid change,Tata Motors,public-reference
VS-0226,226,Ananthapuram,Andhra Pradesh,Tire Replacement; Oil Change,Poor fuel economy,Fuel system cleaning,Ford,public-reference
VS-0227,227,Ananthapuram,Andhra Pradesh,Exhaust Repair; Brake Service,Exhaust noise,Exhaust system repair,Hyundai,public-reference
VS-0228,228,Ananthapuram,Andhra Pradesh,Brake Inspection; Tire Rotation,Misaligned wheels,Wheel alignment,Nissan,public-reference
VS-0229,229,Ananthapuram,Andhra Pradesh,General Maintenance; Engine Check,Engine misfiring,Spark plug replacement,Volkswagen,public-reference
VS-0230,230,Ananthapuram,Andhra Pradesh,Suspension Repair; Oil Change,Steering issues,Suspension adjustment,Kia,public-reference
VS-0231,231,Ananthapuram,Andhra Pradesh,Engine Repair; Tire Alignment,Misaligned tires,Tire alignment,Toyota,public-reference
VS-0232,232,Ananthapuram,Andhra Pradesh,Battery Replacement; General Maintenance,Dead battery,Battery replacement,Hero MotoCorp,public-reference
VS-0233,233,Ananthapuram,Andhra Pradesh,Exhaust Leak; Diagnostics,Exhaust leak,Exhaust system repair,Bajaj Auto,public-reference
VS-0234,234,Ananthapuram,Andhra Pradesh,Oil Change; Brake Fluid Change,Brake fluid leak,Brake fluid replacement,Mahindra,public-reference
VS-0235,235,Ananthapuram,Andhra Pradesh,Tire Alignment; General Maintenance,Tire wear,Tire rotation and balancing,Renault,public-reference
VS-0236,236,Ananthapuram,Andhra Pradesh,Engine Overheating; Tune-Up,Engine overheating,Cooling system flush,Audi,public-reference
VS-0237,237,Ananthapuram,Andhra Pradesh,Brake Repair; Tire Replacement,Body damage,Body repair,Volkswagen,public-reference
VS-0238,238,Ananthapuram,Andhra Pradesh,Fluid Leak; Oil Change,Fluid leak,Fluid replacement,TVS Motor Company,public-reference
VS-0239,239,Ananthapuram,Andhra Pradesh,General Maintenance; Engine Diagnostics,Check engine light,Diagnostic scan,Hero MotoCorp,public-reference
VS-0240,240,Ananthapuram,Andhra Pradesh,Brake Service; Oil Change,Brake wear,Brake replacement,Hyundai,public-reference
VS-0241,241,Ananthapuram,Andhra Pradesh,Tire Replacement; Engine Check,Tire wear,Tire rotation and balancing,Bajaj Auto,public-reference
VS-0242,242,Ananthapuram,Andhra Pradesh,Exhaust Repair; Brake Fluid Change,Exhaust noise,Exhaust system repair,Ford,public-reference
VS-0243,243,Ananthapuram,Andhra Pradesh,Oil Change; Brake Inspection,Brake noise,Brake pad replacement,Maruti Suzuki,public-reference
VS-0244,244,Ananthapuram,Andhra Pradesh,Engine Repair; Diagnostics,Engine misfire,Diagnostic scan,Nissan,public-reference
VS-0245,245,Ananthapuram,Andhra Pradesh,Tire Rotation; Brake Service,Tire wear,Tire rotation and balancing,Hyundai,public-reference
VS-0246,246,Ananthapuram,Andhra Pradesh,Fluid Check; Oil Change,Low oil,Oil replacement,Ford,public-reference
VS-0247,247,Ananthapuram,Andhra Pradesh,Brake Inspection; General Maintenance,Brake noise,Brake pad replacement,Mahindra,public-reference
VS-0248,248,Ananthapuram,Andhra Pradesh,Engine Diagnostics; Tune-Up,Engine roughness,Spark plug replacement,Toyota,public-reference
VS-0249,249,Ananthapuram,Andhra Pradesh,Transmission Fluid Change; Brake Service,Slipping transmission,Transmission fluid change,Volkswagen,public-reference
VS-0250,250,Ananthapuram,Andhra Pradesh,General Maintenance; Tire Inspection,Tire wear,Tire rotation,Audi,public-reference
VS-0251,251,Ananthapuram,Andhra Pradesh,Battery Replacement; General Maintenance,Dead battery,Battery replacement,Hero MotoCorp,public-reference
VS-0252,252,Ananthapuram,Andhra Pradesh,Exhaust Leak; Diagnostics,Exhaust leak,Exhaust system repair,Bajaj Auto,public-reference
VS-0253,253,Ananthapuram,Andhra Pradesh,Oil Change; Brake Fluid Change,Brake fluid leak,Brake fluid replacement,Mahindra,public-reference
VS-0254,254,Ananthapuram,Andhra Pradesh,Tire Alignment; General Maintenance,Tire wear,Tire rotation and balancing,Renault,public-reference
VS-0255,255,Ananthapuram,Andhra Pradesh,Engine Overheating; Tune-Up,Engine overheating,Cooling system flush,Audi,public-reference
VS-0256,256,Ananthapuram,Andhra Pradesh,Brake Repair; Tire Replacement,Body damage,Body repair,Volkswagen,public-reference
VS-0257,257,Ananthapuram,Andhra Pradesh,Fluid Leak; Oil Change,Fluid leak,Fluid replacement,TVS Motor Company,public-reference
VS-0258,258,Ananthapuram,Andhra Pradesh,General Maintenance; Engine Diagnostics,Check engine light,Diagnostic scan,Hero MotoCorp,public-reference
VS-0259,259,Ananthapuram,Andhra Pradesh,Brake Service; Oil Change,Brake wear,Brake replacement,Hyundai,public-reference
VS-0260,260,Ananthapuram,Andhra Pradesh,Tire Replacement; Engine Check,Tire wear,Tire rotation and balancing,Bajaj Auto,public-reference
VS-0261,261,Ananthapuram,Andhra Pradesh,Exhaust Repair; Brake Fluid Change,Exhaust noise,Exhaust system repair,Ford,public-reference
VS-0262,262,Ananthapuram,Andhra Pradesh,Oil Change; Brake Inspection,Brake noise,Brake pad replacement,Maruti Suzuki,public-reference
VS-0263,263,Ananthapuram,Andhra Pradesh,Engine Repair; Diagnostics,Engine misfire,Diagnostic scan,Nissan,public-reference
VS-0264,264,Ananthapuram,Andhra Pradesh,Tire Rotation; Brake Service,Tire wear,Tire rotation and balancing,Hyundai,public-reference
VS-0265,265,Ananthapuram,Andhra Pradesh,Fluid Check; Oil Change,Low oil,Oil replacement,Ford,public-reference
VS-0266,266,Ananthapuram,Andhra Pradesh,Brake Inspection; General Maintenance,Brake noise,Brake pad replacement,Mahindra,public-reference
VS-0267,267,Ananthapuram,Andhra Pradesh,Engine Diagnostics; Tune-Up,Engine roughness,Spark plug replacement,Toyota,public-reference
VS-0268,268,Ananthapuram,Andhra Pradesh,Transmission Fluid Change; Brake Service,Slipping transmission,Transmission fluid change,Volkswagen,public-reference
VS-0269,269,Ananthapuram,Andhra Pradesh,General Maintenance; Tire Inspection,Tire wear,Tire rotation,Audi,public-reference
VS-0270,270,Ananthapuram,Andhra Pradesh,Oil Change; Tire Alignment,Misaligned tires,Tire alignment,Hyundai,public-reference
VS-0271,271,Ananthapuram,Andhra Pradesh,Brake Repair; Engine Check,Brake noise,Brake pad replacement,Ford,public-reference
VS-0272,272,Ananthapuram,Andhra Pradesh,Transmission Repair; Oil Change,Slipping transmission,Transmission fluid change,Tata Motors,public-reference
VS-0273,273,Ananthapuram,Andhra Pradesh,Exhaust Leak; Tire Inspection,Exhaust noise,Exhaust system repair,Hero MotoCorp,public-reference
VS-0274,274,Ananthapuram,Andhra Pradesh,Fluid Leak; Brake Inspection,Fluid leak,Fluid replacement,Audi,public-reference
VS-0275,275,Ananthapuram,Andhra Pradesh,Engine Diagnostics; Oil Change,Engine misfire,Diagnostic scan,Volkswagen,public-reference
VS-0276,276,Ananthapuram,Andhra Pradesh,Suspension Repair; General Maintenance,Steering issues,Suspension adjustment,Tata Motors,public-reference
VS-0277,277,Ananthapuram,Andhra Pradesh,Tire Rotation; Brake Service,Tire wear,Tire rotation,Kia,public-reference
VS-0278,278,Ananthapuram,Andhra Pradesh,Brake Fluid Change; Oil Change,Brake fluid leak,Brake fluid replacement,Bajaj Auto,public-reference
VS-0279,279,Ananthapuram,Andhra Pradesh,Engine Check; Tire Replacement,Tire damage,Tire replacement,Hero MotoCorp,public-reference
VS-0280,280,Ananthapuram,Andhra Pradesh,Transmission Fluid Change; Diagnostics,Transmission slipping,Transmission fluid change,Hyundai,public-reference
VS-0281,281,Ananthapuram,Andhra Pradesh,Oil Change; Brake Repair,Brake noise,Brake pad replacement,Renault,public-reference
VS-0282,282,Ananthapuram,Andhra Pradesh,Fluid Check; General Maintenance,Fluid leak,Fluid replacement,Toyota,public-reference
VS-0283,283,Ananthapuram,Andhra Pradesh,Engine Overheating; Tune-Up,Engine overheating,Cooling system flush,Ford,public-reference
VS-0284,284,Ananthapuram,Andhra Pradesh,Tire Alignment; Brake Fluid Change,Misaligned tires,Tire alignment,Kia,public-reference
VS-0285,285,Ananthapuram,Andhra Pradesh,Exhaust Repair; Oil Change,Exhaust noise,Exhaust system repair,Honda,public-reference
VS-0286,286,Ananthapuram,Andhra Pradesh,Brake Inspection; Tire Rotation,Brake noise,Brake pad replacement,Bajaj Auto,public-reference
VS-0287,287,Ananthapuram,Andhra Pradesh,Engine Diagnostics; Oil Change,Check engine light,Diagnostic scan,Nissan,public-reference
VS-0288,288,Ananthapuram,Andhra Pradesh,Fluid Leak; Tire Replacement,Fluid leak,Fluid replacement,Tata Motors,public-reference
VS-0289,289,Ananthapuram,Andhra Pradesh,General Maintenance; Engine Repair,Engine roughness,Spark plug replacement,Hyundai,public-reference
VS-0290,290,Ananthapuram,Andhra Pradesh,Brake Repair; Oil Change,Brake noise,Brake pad replacement,Ford,public-reference
VS-0291,291,Ananthapuram,Andhra Pradesh,Tire Alignment; Brake Inspection,Misaligned wheels,Wheel alignment,Renault,public-reference
VS-0292,292,Ananthapuram,Andhra Pradesh,Suspension Repair; Tire Inspection,Steering issues,Suspension adjustment,Kia,public-reference
VS-0293,293,Ananthapuram,Andhra Pradesh,Exhaust Leak; General Maintenance,Exhaust noise,Exhaust system repair,Hyundai,public-reference
VS-0294,294,Ananthapuram,Andhra Pradesh,Engine Overheating; Tune-Up,Engine overheating,Cooling system flush,Volkswagen,public-reference
VS-0295,295,Ananthapuram,Andhra Pradesh,Oil Change; Tire Alignment,Misaligned tires,Tire alignment,Hyundai,public-reference
VS-0296,296,Ananthapuram,Andhra Pradesh,Brake Repair; Engine Check,Brake noise,Brake pad replacement,Ford,public-reference
VS-0297,297,Ananthapuram,Andhra Pradesh,Transmission Repair; Oil Change,Slipping transmission,Transmission fluid change,Tata Motors,public-reference
VS-0298,298,Ananthapuram,Andhra Pradesh,Exhaust Leak; Tire Inspection,Exhaust noise,Exhaust system repair,Hero MotoCorp,public-reference
VS-0299,299,Ananthapuram,Andhra Pradesh,Fluid Leak; Brake Inspection,Fluid leak,Fluid replacement,Audi,public-reference
VS-0300,300,Ananthapuram,Andhra Pradesh,Engine Diagnostics; Oil Change,Engine misfire,Diagnostic scan,Volkswagen,public-reference
VS-0301,301,Ananthapuram,Andhra Pradesh,Suspension Repair; General Maintenance,Steering issues,Suspension adjustment,Tata Motors,public-reference
VS-0302,302,Ananthapuram,Andhra Pradesh,Tire Rotation; Brake Service,Tire wear,Tire rotation,Kia,public-reference
VS-0303,303,Ananthapuram,Andhra Pradesh,Brake Fluid Change; Oil Change,Brake fluid leak,Brake fluid replacement,Bajaj Auto,public-reference
VS-0304,304,Ananthapuram,Andhra Pradesh,Engine Check; Tire Replacement,Tire damage,Tire replacement,Hero MotoCorp,public-reference
VS-0305,305,Ananthapuram,Andhra Pradesh,Transmission Fluid Change; Diagnostics,Transmission slipping,Transmission fluid change,Hyundai,public-reference
VS-0306,306,Ananthapuram,Andhra Pradesh,Oil Change; Brake Repair,Brake noise,Brake pad replacement,Renault,public-reference
VS-0307,307,Ananthapuram,Andhra Pradesh,Fluid Check; General Maintenance,Fluid leak,Fluid replacement,Toyota,public-reference
VS-0308,308,Ananthapuram,Andhra Pradesh,Engine Overheating; Tune-Up,Engine overheating,Cooling system flush,Ford,public-reference
VS-0309,309,Ananthapuram,Andhra Pradesh,Tire Alignment; Brake Fluid Change,Misaligned tires,Tire alignment,Kia,public-reference
VS-0310,310,Ananthapuram,Andhra Pradesh,Exhaust Repair; Oil Change,Exhaust noise,Exhaust system repair,Honda,public-reference
VS-0311,311,Ananthapuram,Andhra Pradesh,Brake Inspection; Tire Rotation,Brake noise,Brake pad replacement,Bajaj Auto,public-reference
VS-0312,312,Ananthapuram,Andhra Pradesh,Engine Diagnostics; Oil Change,Check engine light,Diagnostic scan,Nissan,public-reference
VS-0313,313,Ananthapuram,Andhra Pradesh,Fluid Leak; Tire Replacement,Fluid leak,Fluid replacement,Tata Motors,public-reference
VS-0314,314,Ananthapuram,Andhra Pradesh,General Maintenance; Engine Repair,Engine roughness,Spark plug replacement,Hyundai,public-reference
VS-0315,315,Ananthapuram,Andhra Pradesh,Brake Repair; Oil Change,Brake noise,Brake pad replacement,Ford,public-reference
VS-0316,316,Ananthapuram,Andhra Pradesh,Tire Alignment; Brake Inspection,Misaligned wheels,Wheel alignment,Renault,public-reference
VS-0317,317,Ananthapuram,Andhra Pradesh,Suspension Repair; Tire Inspection,Steering issues,Suspension adjustment,Kia,public-reference
VS-0318,318,Ananthapuram,Andhra Pradesh,Exhaust Leak; General Maintenance,Exhaust noise,Exhaust system repair,Hyundai,public-reference
VS-0319,319,Ananthapuram,Andhra Pradesh,Engine Overheating; Tune-Up,Engine overheating,Cooling system flush,Volkswagen,public-reference
VS-0320,320,Ananthapuram,Andhra Pradesh,Oil Change; Tire Alignment,Misaligned tires,Tire alignment,Hyundai,public-reference
VS-0321,321,Ananthapuram,Andhra Pradesh,Brake Repair; Engine Check,Brake noise,Brake pad replacement,Ford,public-reference
VS-0322,322,Ananthapuram,Andhra Pradesh,Transmission Repair; Oil Change,Slipping transmission,Transmission fluid change,Tata Motors,public-reference
VS-0323,323,Ananthapuram,Andhra Pradesh,Exhaust Leak; Tire Inspection,Exhaust noise,Exhaust system repair,Hero MotoCorp,public-reference
VS-0324,324,Ananthapuram,Andhra Pradesh,Fluid Leak; Brake Inspection,Fluid leak,Fluid replacement,Audi,public-reference
VS-0325,325,Ananthapuram,Andhra Pradesh,Engine Diagnostics; Oil Change,Engine misfire,Diagnostic scan,Volkswagen,public-reference
VS-0326,326,Ananthapuram,Andhra Pradesh,Suspension Repair; General Maintenance,Steering issues,Suspension adjustment,Tata Motors,public-reference
VS-0327,327,Ananthapuram,Andhra Pradesh,Tire Rotation; Brake Service,Tire wear,Tire rotation,Kia,public-reference
VS-0328,328,Ananthapuram,Andhra Pradesh,Brake Fluid Change; Oil Change,Brake fluid leak,Brake fluid replacement,Bajaj Auto,public-reference
VS-0329,329,Ananthapuram,Andhra Pradesh,Engine Check; Tire Replacement,Tire damage,Tire replacement,Hero MotoCorp,public-reference
VS-0330,330,Ananthapuram,Andhra Pradesh,Transmission Fluid Change; Diagnostics,Transmission slipping,Transmission fluid change,Hyundai,public-reference
VS-0331,331,Ananthapuram,Andhra Pradesh,Oil Change; Brake Repair,Brake noise,Brake pad replacement,Renault,public-reference
VS-0332,332,Ananthapuram,Andhra Pradesh,Fluid Check; General Maintenance,Fluid leak,Fluid replacement,Toyota,public-reference
VS-0333,333,Ananthapuram,Andhra Pradesh,Engine Overheating; Tune-Up,Engine overheating,Cooling system flush,Ford,public-reference
VS-0334,334,Ananthapuram,Andhra Pradesh,Tire Alignment; Brake Fluid Change,Misaligned tires,Tire alignment,Kia,public-reference
VS-0335,335,Ananthapuram,Andhra Pradesh,Exhaust Repair; Oil Change,Exhaust noise,Exhaust system repair,Honda,public-reference
VS-0336,336,Ananthapuram,Andhra Pradesh,Brake Inspection; Tire Rotation,Brake noise,Brake pad replacement,Bajaj Auto,public-reference
VS-0337,337,Ananthapuram,Andhra Pradesh,Engine Diagnostics; Oil Change,Check engine light,Diagnostic scan,Nissan,public-reference
VS-0338,338,Ananthapuram,Andhra Pradesh,Fluid Leak; Tire Replacement,Fluid leak,Fluid replacement,Tata Motors,public-reference
VS-0339,339,Ananthapuram,Andhra Pradesh,General Maintenance; Engine Repair,Engine roughness,Spark plug replacement,Hyundai,public-reference
VS-0340,340,Ananthapuram,Andhra Pradesh,Brake Repair; Oil Change,Brake noise,Brake pad replacement,Ford,public-reference
VS-0341,341,Ananthapuram,Andhra Pradesh,Tire Alignment; Brake Inspection,Misaligned wheels,Wheel alignment,Renault,public-reference
VS-0342,342,Ananthapuram,Andhra Pradesh,Suspension Repair; Tire Inspection,Steering issues,Suspension adjustment,Kia,public-reference
VS-0343,343,Ananthapuram,Andhra Pradesh,Exhaust Leak; General Maintenance,Exhaust noise,Exhaust system repair,Hyundai,public-reference
VS-0344,344,Ananthapuram,Andhra Pradesh,Engine Overheating; Tune-Up,Engine overheating,Cooling system flush,Volkswagen,public-reference
VS-0345,345,Ananthapuram,Andhra Pradesh,Oil Change; Tire Alignment,Misaligned tires,Tire alignment,Hyundai,public-reference
VS-0346,346,Ananthapuram,Andhra Pradesh,Brake Repair; Engine Check,Brake noise,Brake pad replacement,Ford,public-reference
VS-0347,347,Ananthapuram,Andhra Pradesh,Transmission Repair; Oil Change,Slipping transmission,Transmission fluid change,Tata Motors,public-reference
VS-0348,348,Ananthapuram,Andhra Pradesh,Exhaust Leak; Tire Inspection,Exhaust noise,Exhaust system repair,Hero MotoCorp,public-reference
VS-0349,349,Ananthapuram,Andhra Pradesh,Fluid Leak; Brake Inspection,Fluid leak,Fluid replacement,Audi,public-reference
VS-0350,350,Ananthapuram,Andhra Pradesh,Engine Diagnostics; Oil Change,Engine misfire,Diagnostic scan,Volkswagen,public-reference
VS-0351,351,Ananthapuram,Andhra Pradesh,Suspension Repair; General Maintenance,Steering issues,Suspension adjustment,Tata Motors,public-reference
VS-0352,352,Ananthapuram,Andhra Pradesh,Tire Rotation; Brake Service,Tire wear,Tire rotation,Kia,public-reference
VS-0353,353,Ananthapuram,Andhra Pradesh,Brake Fluid Change; Oil Change,Brake fluid leak,Brake fluid replacement,Bajaj Auto,public-reference
VS-0354,354,Ananthapuram,Andhra Pradesh,Engine Check; Tire Replacement,Tire damage,Tire replacement,Hero MotoCorp,public-reference
VS-0355,355,Ananthapuram,Andhra Pradesh,Transmission Fluid Change; Diagnostics,Transmission slipping,Transmission fluid change,Hyundai,public-reference
VS-0356,356,Ananthapuram,Andhra Pradesh,Oil Change; Brake Repair,Brake noise,Brake pad replacement,Renault,public-reference
VS-0357,357,Ananthapuram,Andhra Pradesh,Fluid Check; General Maintenance,Fluid leak,Fluid replacement,Toyota,public-reference
VS-0358,358,Ananthapuram,Andhra Pradesh,Engine Overheating; Tune-Up,Engine overheating,Cooling system flush,Ford,public-reference
VS-0359,359,Ananthapuram,Andhra Pradesh,Tire Alignment; Brake Fluid Change,Misaligned tires,Tire alignment,Kia,public-reference
VS-0360,360,Ananthapuram,Andhra Pradesh,Exhaust Repair; Oil Change,Exhaust noise,Exhaust system repair,Honda,public-reference
VS-0361,361,Ananthapuram,Andhra Pradesh,Brake Inspection; Tire Rotation,Brake noise,Brake pad replacement,Bajaj Auto,public-reference
VS-0362,362,Ananthapuram,Andhra Pradesh,Engine Diagnostics; Oil Change,Check engine light,Diagnostic scan,Nissan,public-reference
VS-0363,363,Ananthapuram,Andhra Pradesh,Fluid Leak; Tire Replacement,Fluid leak,Fluid replacement,Tata Motors,public-reference
VS-0364,364,Ananthapuram,Andhra Pradesh,General Maintenance; Engine Repair,Engine roughness,Spark plug replacement,Hyundai,public-reference
VS-0365,365,Ananthapuram,Andhra Pradesh,Brake Repair; Oil Change,Brake noise,Brake pad replacement,Ford,public-reference
VS-0366,366,Ananthapuram,Andhra Pradesh,Tire Alignment; Brake Inspection,Misaligned wheels,Wheel alignment,Renault,public-reference
VS-0367,367,Ananthapuram,Andhra Pradesh,Suspension Repair; Tire Inspection,Steering issues,Suspension adjustment,Kia,public-reference
VS-0368,368,Ananthapuram,Andhra Pradesh,Exhaust Leak; General Maintenance,Exhaust noise,Exhaust system repair,Hyundai,public-reference
VS-0369,369,Ananthapuram,Andhra Pradesh,Engine Overheating; Tune-Up,Engine overheating,Cooling system flush,Volkswagen,public-reference
VS-0370,370,Ananthapuram,Andhra Pradesh,Oil Change; Tire Alignment,Misaligned tires,Tire alignment,Hyundai,public-reference
VS-0371,371,Ananthapuram,Andhra Pradesh,Brake Repair; Engine Check,Brake noise,Brake pad replacement,Ford,public-reference
VS-0372,372,Ananthapuram,Andhra Pradesh,Transmission Repair; Oil Change,Slipping transmission,Transmission fluid change,Tata Motors,public-reference
VS-0373,373,Ananthapuram,Andhra Pradesh,Exhaust Leak; Tire Inspection,Exhaust noise,Exhaust system repair,Hero MotoCorp,public-reference
VS-0374,374,Ananthapuram,Andhra Pradesh,Fluid Leak; Brake Inspection,Fluid leak,Fluid replacement,Audi,public-reference
VS-0375,375,Ananthapuram,Andhra Pradesh,Engine Diagnostics; Oil Change,Engine misfire,Diagnostic scan,Volkswagen,public-reference
VS-0376,376,Ananthapuram,Andhra Pradesh,Suspension Repair; General Maintenance,Steering issues,Suspension adjustment,Tata Motors,public-reference
VS-0377,377,Ananthapuram,Andhra Pradesh,Tire Rotation; Brake Service,Tire wear,Tire rotation,Kia,public-reference
VS-0378,378,Ananthapuram,Andhra Pradesh,Brake Fluid Change; Oil Change,Brake fluid leak,Brake fluid replacement,Bajaj Auto,public-reference
VS-0379,379,Ananthapuram,Andhra Pradesh,Engine Check; Tire Replacement,Tire damage,Tire replacement,Hero MotoCorp,public-reference
VS-0380,376,Ananthapuram,Andhra Pradesh,Suspension Repair; General Maintenance,Steering issues,Suspension adjustment,Tata Motors,public-reference
VS-0381,377,Ananthapuram,Andhra Pradesh,Tire Rotation; Brake Service,Tire wear,Tire rotation,Kia,public-reference
VS-0382,378,Ananthapuram,Andhra Pradesh,Brake Fluid Change; Oil Change,Brake fluid leak,Brake fluid replacement,Bajaj Auto,public-reference
VS-0383,379,Ananthapuram,Andhra Pradesh,Engine Check; Tire Replacement,Tire damage,Tire replacement,Hero MotoCorp,public-reference
VS-0384,376,Ananthapuram,Andhra Pradesh,Suspension Repair; General Maintenance,Steering issues,Suspension adjustment,Tata Motors,public-reference
VS-0385,377,Ananthapuram,Andhra Pradesh,Tire Rotation; Brake Service,Tire wear,Tire rotation,Kia,public-reference
VS-0386,378,Ananthapuram,Andhra Pradesh,Brake Fluid Change; Oil Change,Brake fluid leak,Brake fluid replacement,Bajaj Auto,public-reference
VS-0387,379,Ananthapuram,Andhra Pradesh,Engine Check; Tire Replacement,Tire damage,Tire replacement,Hero MotoCorp,public-reference
VS-0388,380,Ananthapuram,Andhra Pradesh,Battery Check; Oil Change,Battery drainage,Battery replacement,Honda,public-reference
VS-0389,381,Ananthapuram,Andhra Pradesh,AC Service; Engine Tune-Up,AC not cooling,AC repair,Maruti Suzuki,public-reference
VS-0390,382,Ananthapuram,Andhra Pradesh,Wheel Alignment; Brake Inspection,Misalignment,Wheel alignment,Ford,public-reference
VS-0391,383,Ananthapuram,Andhra Pradesh,Fuel Filter Change; Oil Change,Fuel blockage,Fuel filter replacement,Tata Motors,public-reference
VS-0392,384,Ananthapuram,Andhra Pradesh,Timing Belt Replacement; Engine Check,Timing issues,Timing belt replacement,Hyundai,public-reference
VS-0393,385,Ananthapuram,Andhra Pradesh,Transmission Fluid Change; Brake Service,Gear slipping,Transmission fluid replacement,Nissan,public-reference
VS-0394,386,Ananthapuram,Andhra Pradesh,Radiator Flush; Cooling System Check,Overheating,Radiator repair,Chevrolet,public-reference
VS-0395,387,Ananthapuram,Andhra Pradesh,Light Replacement; General Maintenance,Flickering lights,Headlight replacement,Suzuki,public-reference
VS-0396,388,Ananthapuram,Andhra Pradesh,Exhaust System Repair; Emission Test,Loud exhaust,Exhaust repair,Volkswagen,public-reference
VS-0397,389,Ananthapuram,Andhra Pradesh,Oil Filter Change; Tire Rotation,Oil leak,Oil filter replacement,Renault,public-reference
VS-0398,390,Ananthapuram,Andhra Pradesh,Spark Plug Replacement; Engine Diagnostics,Poor acceleration,Spark plug replacement,Toyota,public-reference
VS-0399,391,Ananthapuram,Andhra Pradesh,Clutch Replacement; Brake Inspection,Sticking clutch,Clutch repair,Mahindra,public-reference
VS-0400,392,Ananthapuram,Andhra Pradesh,Fuel Injection Service; Oil Change,Rough idling,Fuel injector cleaning,Bajaj Auto,public-reference
VS-0401,393,Ananthapuram,Andhra Pradesh,Windshield Wiper Replacement; General Maintenance,Streaky wipers,Wiper replacement,Ford,public-reference
VS-0402,394,Ananthapuram,Andhra Pradesh,Power Steering Fluid Change; Tire Rotation,Hard steering,Power steering service,Honda,public-reference
VS-0403,395,Ananthapuram,Andhra Pradesh,Differential Service; Brake Fluid Change,Noise while turning,Differential repair,Kia,public-reference
VS-0404,396,Ananthapuram,Andhra Pradesh,Antifreeze Change; Engine Check,Cooling issues,Antifreeze replacement,Hyundai,public-reference
VS-0405,397,Ananthapuram,Andhra Pradesh,Serpentine Belt Replacement; General Maintenance,Squeaking noise,Belt replacement,Nissan,public-reference
VS-0406,398,Ananthapuram,Andhra Pradesh,Engine Filter Change; Tire Replacement,Decreased power,Engine filter replacement,Tata Motors,public-reference
VS-0407,399,Ananthapuram,Andhra Pradesh,Safety Inspection; Brake Service,Warning lights,Inspection service,Chevrolet,public-reference
VS-0408,400,Ananthapuram,Andhra Pradesh,Headlight Restoration; Oil Change,Cloudy headlights,Headlight restoration,Suzuki,public-reference
VS-0409,401,Ananthapuram,Andhra Pradesh,Headlight Restoration; Oil Change,Cloudy headlights,Headlight restoration,Honda City,public-reference
